Problem,Dataset,dlv,clingo bnb,aspirena,mingo,maxmodels,ezsmt,acyc2solver_mip_fvs,acyc2solver_mip_ve,clingo usc,acyc2solver_mip_ve_smodels_gurobi,acyc2solver_mip_fvs_smodels_gurobi
set-packing,p8,0.44,237.46,0.2,2.15,0.82,600.02,0.57,0.42,0.17,0.12,0.12
set-packing,p9,0.13,105.1,0.09,0.43,0.52,600.01,0.12,0.07,0.03,0.12,0.12
set-packing,p10,0.03,279.55,0.09,0.54,0.07,600.01,0.12,0.07,0.02,0.12,0.12
solitaire,p1,0.34,0.19,4.02,0.85,0.17,4.93,0.27,0.27,0.07,0.17,0.17
solitaire,p2,0.23,0.13,2.56,0.75,0.07,13.24,0.22,0.17,0.07,0.12,0.12
solitaire,p3,600.03,600.02,365.97,600.01,600.01,614.16,600.01,600.02,600.01,62.75,62.8
solitaire,p4,0.41,0.3,6.66,1.56,0.43,4.24,0.27,0.27,0.17,0.17,0.17
solitaire,p5,0.35,0.23,3.79,1.25,0.07,14.1,0.22,0.22,0.07,0.12,0.12
solitaire,p6,600.03,600.04,315.41,600.03,600.0,600.01,600.01,600.02,600.01,70.15,70.1
solitaire,p7,0.51,0.35,6.85,1.65,0.43,6.7,0.68,0.63,0.17,0.17,0.17
solitaire,p8,0.39,0.24,4.85,1.04,0.17,17.05,0.42,0.38,0.13,0.12,0.12
solitaire,p9,600.04,600.04,600.31,600.03,600.01,600.01,600.02,600.02,600.0,137.17,137.11
solitaire,p10,0.61,0.37,7.68,1.93,0.49,5.69,0.37,0.37,0.13,0.17,0.17
stacker-crane,p1,4.56,0.33,3.98,16.91,8.85,600.01,2.94,27.94,0.12,13.63,1.28
stacker-crane,p2,142.02,47.39,5.24,116.52,41.52,600.01,11.59,92.01,600.01,29.63,1.38
stacker-crane,p3,8.99,0.48,4.27,21.19,16.79,600.01,5.96,26.92,0.22,18.97,0.97
stacker-crane,p4,10.2,1.69,4.32,600.02,22.96,600.01,6.31,60.1,4.04,17.54,1.38
stacker-crane,p5,7.04,12.61,4.17,44.54,21.91,600.01,10.63,29.53,0.77,22.75,0.97
stacker-crane,p6,8.08,3.15,4.74,41.37,21.96,600.01,6.56,65.09,0.28,13.25,1.02
stacker-crane,p7,8.44,0.75,5.48,41.42,8.56,600.01,4.45,44.25,0.12,10.63,0.97
stacker-crane,p8,4.47,2.65,4.53,69.73,17.19,600.01,5.05,73.29,0.17,19.42,0.97
stacker-crane,p9,15.52,23.83,4.93,129.41,69.7,600.01,8.98,141.18,43.15,18.5,1.02
